,Fabrikalar,Mudur_Sayisi,Mudur_Maasi,Mudur_Puani,Calisan_Sayisi,Calisan_Maasi,Calisan_Puani,Satis_Pazarlama_Mudur_Sayisi,Satis_Pazarlama_Mudur_Puani,Satis_Pazarlama_Mudur_Maasi,Satis_Pazarlama_Calisan_Eleman_Sayisi,Satis_Pazarlama_Calisan_Eleman_Puani,Satis_Pazarlama_Calisan_Eleman_Maasi,Makine_Maaliyeti,Calisan_Mesai,Mola_Suresi,Makine_Sayisi,Makine_Haftalik_Bakim,Makine_Bakim_Ucreti,Veri_Analizi_Mudur_Sayisi,Veri_Analizi_Mudur_Puani,Veri_Analizi_Mudur_Maasi,Veri_Analizi_Calisan_Sayisi,Veri_Analizi_Calisan_Puani,Veri_Analizi_Calisan_Maasi,Depo_Sayisi,Isci_Memnuniyeti,Lojistik_Sayisi,Lojistik_Puani,Ortalama_Calisma_Suresi,Uretim_Hizi,Uretim_Miktari,Urun_Hata_Orani,Fabrika_Giderleri,Urun_Basi_Maliyet,Urun_Basi_Kar,Urun_Min_Satis_Fiyati,Urun_Max_Satis_Fiyati,Hammadde_Cesidi,Kaucuk_Alis_Fiyati,Kaucuk_Satis_Fiyati,Kaucuk_Kalitesi,Motorsiklet_Lastik_Performansi,Traktor_Lastik_Performansi,Bisiklet_Lastik_Performansi,SUV_Lastik_Performansi,Yazlik_Lastik_Performansi,Dort_Mevsim_Lastik_Performansi,Kislik_Lastik_Performansi,Lastik_Capi,Lastik_Agirligi,Lastik_Ebati,Kuru_Zemin_Fren,Islak_Zemin_Fren,Karli_Zemin_Fren,Konfor,Viraj_Donus_Puan,Yol_Temasi,Direksiyon_Hakimiyeti,Yakit_Tuketimi,Yuk_Endeksi,Off_Road_Uygunlugu,Sirt_Deseni,Gurultu,Asinma,Centik_Sayisi
0,Fabrika 1,9,11.282,9,4601,6600,7,14,9,11383,6303,7,5679,334963,7,49,4847,2,6869,8,10,16938,6551,10,8211,43,7,33,5,42,6,326996,5,843875,36,115,221,924,2,40414,40769,6,5,8,8,8,6,7,6,19,6,6,6,10,7,5,7,5,10,8,5,9,6,10,5,6
1,Fabrika 2,13,10.190,8,5607,6905,10,10,6,10260,6049,5,4869,453107,13,48,6819,2,5349,7,10,16682,6303,10,9280,42,6,38,5,30,7,467492,2,977856,27,88,209,732,3,43360,39213,6,6,6,9,6,7,7,6,14,6,8,7,7,5,5,5,8,6,8,10,6,8,10,8,8
2,Fabrika 3,14,13.708,9,6332,5906,8,11,5,12110,6949,9,6597,114178,15,26,7288,3,5477,8,10,17109,6478,10,11083,39,6,50,8,37,10,310513,1,584390,51,119,202,929,2,40627,36037,7,7,5,5,8,8,10,7,15,6,8,8,8,10,9,9,9,6,6,8,7,9,5,8,7
3,Fabrika 4,10,10.035,8,6502,5246,6,7,5,8285,7224,7,6236,213644,13,48,4730,3,5249,6,10,16517,7417,10,12426,21,5,26,8,27,9,424575,2,921496,55,104,229,828,2,44507,43097,9,7,9,9,8,9,8,8,13,6,10,8,5,8,5,5,9,8,8,8,6,5,6,9,10
4,Fabrika 5,12,14.617,6,6352,4957,8,10,8,10483,6060,10,6512,233822,5,25,4573,3,4826,10,10,17818,5431,10,8842,49,9,35,8,40,8,397558,3,752326,65,60,240,787,1,37397,44529,9,6,5,10,9,6,9,7,16,6,6,10,8,7,5,5,9,6,10,10,10,10,8,10,5
5,Fabrika 6,14,11.192,9,6111,6770,5,14,7,9122,7011,8,6960,138422,22,39,6124,2,6929,6,10,18271,6846,10,13723,35,9,42,5,43,10,401780,5,729773,72,107,203,602,1,38029,37453,5,6,7,6,6,10,8,5,19,6,10,9,7,7,8,7,5,5,7,5,8,9,6,6,7
6,Fabrika 7,15,13.479,6,6045,5723,9,12,7,13293,5333,9,4768,171247,14,35,5559,3,7444,10,10,18006,7073,10,9765,42,6,45,7,30,6,301934,1,573153,29,113,209,681,2,36185,39785,8,7,10,5,8,10,8,8,15,6,6,7,7,6,10,6,6,10,10,10,7,6,9,7,10
7,Fabrika 8,12,11.376,9,5289,4685,8,10,5,13254,7134,6,6459,136473,7,36,6437,2,6226,9,10,16869,6943,10,13545,55,8,31,10,40,8,120788,4,747130,76,90,218,724,2,39096,41169,9,9,9,7,9,9,9,5,17,6,7,5,8,8,8,7,5,5,5,10,6,7,7,7,5
8,Fabrika 9,12,11.944,7,5167,7333,8,9,7,12985,5187,8,5297,438786,3,25,6396,2,5270,7,10,19036,7217,10,12420,39,10,46,7,30,6,269066,3,864989,60,113,214,589,3,43622,40029,7,9,6,6,7,6,8,8,16,6,8,10,10,9,10,6,10,9,10,8,8,8,5,9,7
9,Fabrika 10,13,10.900,9,5539,5994,5,14,8,8722,5719,8,6834,175475,11,39,5560,3,7157,5,10,16126,4979,10,8371,40,5,42,7,50,8,207222,3,800073,44,62,225,557,3,42563,41713,5,5,9,5,5,7,8,9,13,6,5,10,6,8,7,9,8,10,5,10,5,6,5,7,6
10,Fabrika 11,15,8.357,7,4656,6343,8,15,8,11412,7273,10,5225,359230,10,37,7422,2,7223,10,10,15438,6194,10,8992,43,7,36,9,49,7,409226,5,842455,41,86,226,627,1,43898,36297,9,9,9,9,6,5,9,10,16,6,5,8,6,5,8,5,6,5,8,5,7,5,8,8,9
11,Fabrika 12,8,9.363,8,5017,6517,5,11,5,9217,5737,10,6695,249683,21,25,5101,2,6234,9,10,15915,7280,10,12653,37,7,29,9,30,8,131586,5,760229,21,98,222,715,2,40052,40369,8,9,8,5,10,9,7,6,19,6,8,6,5,5,8,8,10,9,8,10,6,9,9,5,6
12,Fabrika 13,14,8.017,7,5673,6438,8,8,6,14917,5157,9,4976,294573,17,35,6730,2,5721,8,10,19430,5622,10,8654,49,10,37,6,32,10,287484,3,539862,67,79,227,516,2,44966,44786,5,5,5,6,8,9,10,8,13,6,7,7,7,6,6,5,6,9,8,8,5,5,7,8,9
13,Fabrika 14,7,13.319,8,5210,5821,6,11,5,8588,4810,5,5167,300277,10,48,6016,3,6317,9,10,16792,5728,10,11311,33,7,27,9,38,9,253085,4,724259,31,106,210,830,3,35694,37124,9,8,8,10,7,7,9,5,17,6,10,7,8,6,9,6,10,7,6,10,10,10,5,6,10
14,Fabrika 15,15,10.241,7,5362,6925,6,9,8,7769,6156,10,6779,218096,5,29,7155,2,7223,10,10,15531,5053,10,12946,60,7,31,5,32,9,229837,2,719730,36,111,209,617,3,43542,42324,7,9,7,5,5,8,9,6,17,6,9,8,7,9,5,6,5,9,8,6,10,10,5,6,8
15,Fabrika 16,11,8.505,10,5600,4884,7,7,5,8653,6389,9,4954,448750,3,47,4529,2,5382,8,10,17861,6821,10,12328,51,6,36,7,42,5,284293,5,594408,25,116,231,825,2,37539,43802,6,9,9,5,7,6,10,9,18,6,8,9,6,9,5,10,8,5,10,10,8,7,7,7,7
16,Fabrika 17,12,9.967,7,6322,4644,8,12,9,12703,6546,9,5929,364138,4,33,5708,3,5465,9,10,18595,6118,10,7669,20,5,49,8,34,9,123489,3,847427,31,65,208,875,3,35001,39631,10,5,5,7,5,8,5,10,18,6,5,9,10,10,9,9,6,9,8,10,8,10,5,6,5
17,Fabrika 18,10,9.464,6,6535,6690,8,8,9,7825,5011,5,5495,235770,5,30,5431,3,5407,6,10,19109,6269,10,7805,58,6,25,8,37,6,465575,1,804015,48,86,214,713,2,43773,40384,7,5,7,10,9,10,9,10,18,6,5,9,8,7,10,9,9,7,10,7,7,9,8,8,8
18,Fabrika 19,7,12.889,7,7457,6691,10,15,5,11758,4830,8,6642,437931,16,28,5756,2,6010,6,10,15721,7074,10,11558,29,7,44,5,50,6,238334,5,675683,52,104,226,904,1,35286,43687,7,6,9,5,10,6,6,9,19,6,6,7,7,5,5,5,10,6,7,7,10,7,6,8,10
19,Fabrika 20,8,14.028,10,5742,5588,5,10,5,13034,6742,7,5732,126374,21,39,5029,3,6687,9,10,17306,4555,10,9377,20,8,37,9,27,5,406031,4,946394,80,108,206,792,3,40962,41906,5,6,9,7,5,8,6,8,12,6,5,9,7,7,8,7,7,8,6,7,5,7,6,9,9
20,Fabrika 21,12,14.449,9,4783,4645,8,7,9,7733,7019,7,5205,296394,14,26,6883,3,4821,7,10,15288,6083,10,14557,56,10,35,10,44,9,172805,3,579991,70,114,208,843,3,35989,41302,6,5,6,8,5,5,8,5,19,6,6,5,7,10,6,6,5,7,8,8,5,7,8,9,8
21,Fabrika 22,10,8.079,9,5696,6039,6,13,8,12319,7199,9,6962,409408,11,30,6792,3,4796,9,10,17049,7376,10,9459,26,9,37,9,27,9,434280,5,651878,43,87,221,933,3,38110,42794,7,7,5,9,10,10,7,9,13,6,6,6,6,10,9,10,7,10,6,7,5,5,8,8,10
22,Fabrika 23,8,8.725,7,6273,5291,6,12,6,12536,7440,9,5321,176377,6,46,4776,2,5913,7,10,16128,5823,10,8647,51,5,27,8,42,10,357803,1,944125,73,64,213,893,1,36775,36521,10,7,5,8,6,8,9,7,20,6,7,5,5,7,6,5,9,6,9,5,5,7,7,9,10
23,Fabrika 24,11,12.257,7,5410,7131,5,11,5,9209,4762,7,6717,256452,19,28,6836,3,4807,10,10,15589,4844,10,8472,40,5,30,8,32,7,267903,4,647821,35,109,233,844,3,41520,37857,8,10,6,9,6,6,10,8,20,6,8,6,9,9,10,9,6,6,7,9,10,5,5,10,9
24,Fabrika 25,15,12.984,7,6070,4608,7,12,6,12850,7191,10,6068,287223,21,39,5052,3,7206,7,10,15724,4937,10,13424,52,10,44,10,42,5,483978,2,551294,68,103,222,891,2,40261,42803,7,5,7,6,7,10,9,6,14,6,6,9,10,8,6,6,9,10,9,7,9,7,8,7,6
25,Fabrika 26,9,11.923,8,5568,6272,5,10,6,12052,7498,5,5442,455349,6,49,4904,2,6363,9,10,19777,6752,10,13096,27,5,28,6,29,5,276359,1,866187,22,67,205,793,1,38205,37405,6,8,6,10,5,7,8,9,16,6,6,10,9,7,10,10,10,9,10,6,5,5,7,10,10
26,Fabrika 27,14,9.503,7,6150,5212,7,15,7,8528,5468,6,6788,215781,15,43,7000,3,7469,9,10,19725,6588,10,13901,25,8,27,10,29,8,423525,3,874124,26,69,234,679,2,43750,38427,7,9,10,9,6,7,6,7,19,6,5,8,5,10,9,7,7,7,5,6,5,9,6,10,9
27,Fabrika 28,14,13.401,6,6379,5168,5,7,10,11007,7173,7,4588,168456,18,39,7500,2,5218,5,10,16339,5624,10,14197,37,6,26,9,31,5,201790,3,692340,47,86,232,547,3,40505,38401,9,5,9,10,10,6,5,6,20,6,10,10,5,8,7,7,8,9,7,10,10,9,9,6,7
28,Fabrika 29,13,7.706,5,5168,6450,10,10,5,12147,5435,10,4685,338553,11,33,7117,2,4967,5,10,17840,6142,10,13053,56,6,42,5,43,9,340682,1,814593,31,88,239,830,3,41355,36146,5,6,7,8,5,6,10,6,12,6,9,9,6,9,7,5,8,10,7,6,10,8,10,9,10
29,Fabrika 30,10,8.494,10,6543,6110,6,14,7,12300,6024,9,4645,156704,18,47,4866,2,5964,7,10,15448,4965,10,9634,57,5,46,8,27,5,197586,3,992170,37,62,217,679,1,43478,43055,6,8,9,7,5,10,9,8,13,6,6,5,6,10,10,8,5,8,6,7,9,10,7,9,7
30,Fabrika 31,8,14.700,6,6774,5500,9,13,9,10491,6854,8,7281,263878,10,28,5647,2,5801,7,10,19126,6853,10,12108,31,7,39,6,50,9,445695,1,861795,57,113,229,489,1,42482,38960,6,9,9,7,7,5,10,5,18,6,9,7,9,9,7,7,5,7,9,7,7,6,6,9,10
31,Fabrika 32,14,12.512,10,6155,6740,10,8,10,8548,5502,9,5540,157682,19,47,5545,3,6217,8,10,15955,6778,10,7882,56,10,37,5,38,10,458765,2,744299,78,84,220,573,3,35681,40203,9,7,5,7,6,9,5,10,14,6,10,5,6,10,6,6,10,9,5,9,10,6,8,9,6
